站点编号,年,月,日,平均相对湿度(%)
50136,2019,1,1,53
50136,2019,1,2,66
50136,2019,1,3,66
50136,2019,1,4,66
50136,2019,1,5,66
50136,2019,1,6,67
50136,2019,1,7,68
50136,2019,1,8,56
50136,2019,1,9,56
50136,2019,1,10,67
50136,2019,1,11,69
50136,2019,1,12,74
50136,2019,1,13,73
50136,2019,1,14,67
50136,2019,1,15,65
50136,2019,1,16,51
50136,2019,1,17,59
50136,2019,1,18,66
50136,2019,1,19,70
50136,2019,1,20,67
50136,2019,1,21,72
50136,2019,1,22,63
50136,2019,1,23,61
50136,2019,1,24,64
50136,2019,1,25,67
50136,2019,1,26,65
50136,2019,1,27,70
50136,2019,1,28,67
50136,2019,1,29,68
50136,2019,1,30,61
50136,2019,1,31,62
50136,2019,2,1,60
50136,2019,2,2,67
50136,2019,2,3,57
50136,2019,2,4,57
50136,2019,2,5,60
50136,2019,2,6,64
50136,2019,2,7,52
50136,2019,2,8,51
50136,2019,2,9,58
50136,2019,2,10,59
50136,2019,2,11,60
50136,2019,2,12,54
50136,2019,2,13,56
50136,2019,2,14,55
50136,2019,2,15,58
50136,2019,2,16,59
50136,2019,2,17,64
50136,2019,2,18,66
50136,2019,2,19,65
50136,2019,2,20,64
50136,2019,2,21,61
50136,2019,2,22,66
50136,2019,2,23,79
50136,2019,2,24,55
50136,2019,2,25,63
50136,2019,2,26,60
50136,2019,2,27,66
50136,2019,2,28,66
50136,2019,3,1,68
50136,2019,3,2,71
50136,2019,3,3,70
50136,2019,3,4,70
50136,2019,3,5,66
50136,2019,3,6,63
50136,2019,3,7,65
50136,2019,3,8,67
50136,2019,3,9,57
50136,2019,3,10,57
50136,2019,3,11,46
50136,2019,3,12,42
50136,2019,3,13,60
50136,2019,3,14,65
50136,2019,3,15,60
50136,2019,3,16,59
50136,2019,3,17,52
50136,2019,3,18,47
50136,2019,3,19,44
50136,2019,3,20,60
50136,2019,3,21,62
50136,2019,3,22,63
50136,2019,3,23,56
50136,2019,3,24,76
50136,2019,3,25,69
50136,2019,3,26,57
50136,2019,3,27,56
50136,2019,3,28,59
50136,2019,3,29,56
50136,2019,3,30,51
50136,2019,3,31,51
50136,2019,4,1,52
50136,2019,4,2,53
50136,2019,4,3,57
50136,2019,4,4,63
50136,2019,4,5,57
50136,2019,4,6,55
50136,2019,4,7,58
50136,2019,4,8,49
50136,2019,4,9,54
50136,2019,4,10,57
50136,2019,4,11,46
50136,2019,4,12,45
50136,2019,4,13,46
50136,2019,4,14,64
50136,2019,4,15,67
50136,2019,4,16,71
50136,2019,4,17,55
50136,2019,4,18,44
50136,2019,4,19,41
50136,2019,4,20,52
50136,2019,4,21,42
50136,2019,4,22,46
50136,2019,4,23,85
50136,2019,4,24,60
50136,2019,4,25,49
50136,2019,4,26,40
50136,2019,4,27,36
50136,2019,4,28,38
50136,2019,4,29,31
50136,2019,4,30,35
50136,2019,5,1,41
50136,2019,5,2,39
50136,2019,5,3,42
50136,2019,5,4,30
50136,2019,5,5,39
50136,2019,5,6,42
50136,2019,5,7,48
50136,2019,5,8,63
50136,2019,5,9,66
50136,2019,5,10,87
50136,2019,5,11,87
50136,2019,5,12,89
50136,2019,5,13,96
50136,2019,5,14,82
50136,2019,5,15,65
50136,2019,5,16,77
50136,2019,5,17,94
50136,2019,5,18,87
50136,2019,5,19,63
50136,2019,5,20,51
50136,2019,5,21,43
50136,2019,5,22,52
50136,2019,5,23,45
50136,2019,5,24,60
50136,2019,5,25,55
50136,2019,5,26,64
50136,2019,5,27,51
50136,2019,5,28,36
50136,2019,5,29,52
50136,2019,5,30,50
50136,2019,5,31,48
50136,2019,6,1,58
50136,2019,6,2,59
50136,2019,6,3,58
50136,2019,6,4,52
50136,2019,6,5,72
50136,2019,6,6,86
50136,2019,6,7,73
50136,2019,6,8,62
50136,2019,6,9,61
50136,2019,6,10,73
50136,2019,6,11,72
50136,2019,6,12,79
50136,2019,6,13,89
50136,2019,6,14,72
50136,2019,6,15,65
50136,2019,6,16,65
50136,2019,6,17,73
50136,2019,6,18,58
50136,2019,6,19,57
50136,2019,6,20,61
50136,2019,6,21,79
50136,2019,6,22,65
50136,2019,6,23,78
50136,2019,6,24,86
50136,2019,6,25,75
50136,2019,6,26,68
50136,2019,6,27,72
50136,2019,6,28,68
50136,2019,6,29,68
50136,2019,6,30,60
50136,2019,7,1,74
50136,2019,7,2,72
50136,2019,7,3,73
50136,2019,7,4,77
50136,2019,7,5,62
50136,2019,7,6,58
50136,2019,7,7,71
50136,2019,7,8,80
50136,2019,7,9,84
50136,2019,7,10,75
50136,2019,7,11,68
50136,2019,7,12,66
50136,2019,7,13,81
50136,2019,7,14,81
50136,2019,7,15,91
50136,2019,7,16,82
50136,2019,7,17,86
50136,2019,7,18,74
50136,2019,7,19,86
50136,2019,7,20,95
50136,2019,7,21,98
50136,2019,7,22,95
50136,2019,7,23,86
50136,2019,7,24,86
50136,2019,7,25,94
50136,2019,7,26,84
50136,2019,7,27,80
50136,2019,7,28,94
50136,2019,7,29,85
50136,2019,7,30,97
50136,2019,7,31,92
50136,2019,8,1,79
50136,2019,8,2,86
50136,2019,8,3,84
