站点编号,年,月,日,平均相对湿度(%)
54218,2019,1,1,39
54218,2019,1,2,40
54218,2019,1,3,43
54218,2019,1,4,32
54218,2019,1,5,28
54218,2019,1,6,35
54218,2019,1,7,41
54218,2019,1,8,35
54218,2019,1,9,21
54218,2019,1,10,28
54218,2019,1,11,43
54218,2019,1,12,43
54218,2019,1,13,36
54218,2019,1,14,43
54218,2019,1,15,27
54218,2019,1,16,17
54218,2019,1,17,22
54218,2019,1,18,24
54218,2019,1,19,38
54218,2019,1,20,28
54218,2019,1,21,20
54218,2019,1,22,22
54218,2019,1,23,39
54218,2019,1,24,45
54218,2019,1,25,32
54218,2019,1,26,28
54218,2019,1,27,25
54218,2019,1,28,21
54218,2019,1,29,22
54218,2019,1,30,23
54218,2019,1,31,18
54218,2019,2,1,12
54218,2019,2,2,20
54218,2019,2,3,34
54218,2019,2,4,40
54218,2019,2,5,54
54218,2019,2,6,75
54218,2019,2,7,35
54218,2019,2,8,40
54218,2019,2,9,34
54218,2019,2,10,43
54218,2019,2,11,50
54218,2019,2,12,44
54218,2019,2,13,36
54218,2019,2,14,52
54218,2019,2,15,36
54218,2019,2,16,30
54218,2019,2,17,31
54218,2019,2,18,31
54218,2019,2,19,44
54218,2019,2,20,36
54218,2019,2,21,29
54218,2019,2,22,26
54218,2019,2,23,29
54218,2019,2,24,29
54218,2019,2,25,36
54218,2019,2,26,34
54218,2019,2,27,44
54218,2019,2,28,40
54218,2019,3,1,35
54218,2019,3,2,28
54218,2019,3,3,34
54218,2019,3,4,32
54218,2019,3,5,30
54218,2019,3,6,58
54218,2019,3,7,32
54218,2019,3,8,21
54218,2019,3,9,46
54218,2019,3,10,67
54218,2019,3,11,30
54218,2019,3,12,30
54218,2019,3,13,25
54218,2019,3,14,34
54218,2019,3,15,34
54218,2019,3,16,41
54218,2019,3,17,33
54218,2019,3,18,20
54218,2019,3,19,20
54218,2019,3,20,54
54218,2019,3,21,54
54218,2019,3,22,61
54218,2019,3,23,39
54218,2019,3,24,27
54218,2019,3,25,26
54218,2019,3,26,32
54218,2019,3,27,33
54218,2019,3,28,29
54218,2019,3,29,55
54218,2019,3,30,39
54218,2019,3,31,40
54218,2019,4,1,28
54218,2019,4,2,27
54218,2019,4,3,20
54218,2019,4,4,20
54218,2019,4,5,21
54218,2019,4,6,19
54218,2019,4,7,36
54218,2019,4,8,35
54218,2019,4,9,31
54218,2019,4,10,33
54218,2019,4,11,24
54218,2019,4,12,27
54218,2019,4,13,18
54218,2019,4,14,14
54218,2019,4,15,8
54218,2019,4,16,16
54218,2019,4,17,31
54218,2019,4,18,25
54218,2019,4,19,18
54218,2019,4,20,28
54218,2019,4,21,22
54218,2019,4,22,29
54218,2019,4,23,42
54218,2019,4,24,54
54218,2019,4,25,51
54218,2019,4,26,37
54218,2019,4,27,43
54218,2019,4,28,53
54218,2019,4,29,68
54218,2019,4,30,45
54218,2019,5,1,24
54218,2019,5,2,15
54218,2019,5,3,13
54218,2019,5,4,30
54218,2019,5,5,31
54218,2019,5,6,15
54218,2019,5,7,13
54218,2019,5,8,13
54218,2019,5,9,19
54218,2019,5,10,21
54218,2019,5,11,48
54218,2019,5,12,73
54218,2019,5,13,32
54218,2019,5,14,23
54218,2019,5,15,34
54218,2019,5,16,22
54218,2019,5,17,43
54218,2019,5,18,69
54218,2019,5,19,69
54218,2019,5,20,39
54218,2019,5,21,24
54218,2019,5,22,23
54218,2019,5,23,27
54218,2019,5,24,23
54218,2019,5,25,31
54218,2019,5,26,91
54218,2019,5,27,50
54218,2019,5,28,33
54218,2019,5,29,29
54218,2019,5,30,32
54218,2019,5,31,27
54218,2019,6,1,66
54218,2019,6,2,56
54218,2019,6,3,72
54218,2019,6,4,68
54218,2019,6,5,42
54218,2019,6,6,44
54218,2019,6,7,41
54218,2019,6,8,36
54218,2019,6,9,57
54218,2019,6,10,53
54218,2019,6,11,43
54218,2019,6,12,41
54218,2019,6,13,61
54218,2019,6,14,34
54218,2019,6,15,51
54218,2019,6,16,59
54218,2019,6,17,65
54218,2019,6,18,69
54218,2019,6,19,54
54218,2019,6,20,49
54218,2019,6,21,46
54218,2019,6,22,41
54218,2019,6,23,37
54218,2019,6,24,46
54218,2019,6,25,47
54218,2019,6,26,51
54218,2019,6,27,66
54218,2019,6,28,71
54218,2019,6,29,69
54218,2019,6,30,66
54218,2019,7,1,51
54218,2019,7,2,58
54218,2019,7,3,49
54218,2019,7,4,43
54218,2019,7,5,73
54218,2019,7,6,92
54218,2019,7,7,78
54218,2019,7,8,67
54218,2019,7,9,73
54218,2019,7,10,73
54218,2019,7,11,71
54218,2019,7,12,67
54218,2019,7,13,69
54218,2019,7,14,67
54218,2019,7,15,62
54218,2019,7,16,64
54218,2019,7,17,63
54218,2019,7,18,60
54218,2019,7,19,63
54218,2019,7,20,65
54218,2019,7,21,50
54218,2019,7,22,46
54218,2019,7,23,79
54218,2019,7,24,55
54218,2019,7,25,59
54218,2019,7,26,51
54218,2019,7,27,58
54218,2019,7,28,62
54218,2019,7,29,71
54218,2019,7,30,53
54218,2019,7,31,46
54218,2019,8,1,63
54218,2019,8,2,61
54218,2019,8,3,61
54218,2019,8,4,60
54218,2019,8,5,61
54218,2019,8,6,61
54218,2019,8,7,73
54218,2019,8,8,71
54218,2019,8,9,72
54218,2019,8,10,93
54218,2019,8,11,92
54218,2019,8,12,85
54218,2019,8,13,89
54218,2019,8,14,67
54218,2019,8,15,70
54218,2019,8,16,66
54218,2019,8,17,69
54218,2019,8,18,63
54218,2019,8,19,71
54218,2019,8,20,85
54218,2019,8,21,51
54218,2019,8,22,45
54218,2019,8,23,60
54218,2019,8,24,61
54218,2019,8,25,79
54218,2019,8,26,77
54218,2019,8,27,64
54218,2019,8,28,71
54218,2019,8,29,63
54218,2019,8,30,55
54218,2019,8,31,57
54218,2019,9,1,46
54218,2019,9,2,48
54218,2019,9,3,63
54218,2019,9,4,66
54218,2019,9,5,60
54218,2019,9,6,58
54218,2019,9,7,68
54218,2019,9,8,63
54218,2019,9,9,72
54218,2019,9,10,66
54218,2019,9,11,59
54218,2019,9,12,63
54218,2019,9,13,65
54218,2019,9,14,59
54218,2019,9,15,51
54218,2019,9,16,50
54218,2019,9,17,46
54218,2019,9,18,36
54218,2019,9,19,40
54218,2019,9,20,45
54218,2019,9,21,45
54218,2019,9,22,49
54218,2019,9,23,38
54218,2019,9,24,37
54218,2019,9,25,34
54218,2019,9,26,34
54218,2019,9,27,39
54218,2019,9,28,42
54218,2019,9,29,44
54218,2019,9,30,50
54218,2019,10,1,52
54218,2019,10,2,52
54218,2019,10,3,81
54218,2019,10,4,76
54218,2019,10,5,50
54218,2019,10,6,62
54218,2019,10,7,51
54218,2019,10,8,33
54218,2019,10,9,34
54218,2019,10,10,52
54218,2019,10,11,32
54218,2019,10,12,35
54218,2019,10,13,59
54218,2019,10,14,43
54218,2019,10,15,32
54218,2019,10,16,27
54218,2019,10,17,30
54218,2019,10,18,53
54218,2019,10,19,65
54218,2019,10,20,35
54218,2019,10,21,32
54218,2019,10,22,32
54218,2019,10,23,48
54218,2019,10,24,61
54218,2019,10,25,46
54218,2019,10,26,51
54218,2019,10,27,32
54218,2019,10,28,41
54218,2019,10,29,36
54218,2019,10,30,26
54218,2019,10,31,29
54218,2019,11,1,41
54218,2019,11,2,41
54218,2019,11,3,33
54218,2019,11,4,39
54218,2019,11,5,40
54218,2019,11,6,39
54218,2019,11,7,32
54218,2019,11,8,36
54218,2019,11,9,43
54218,2019,11,10,71
54218,2019,11,11,53
54218,2019,11,12,50
54218,2019,11,13,30
54218,2019,11,14,45
54218,2019,11,15,57
54218,2019,11,16,51
54218,2019,11,17,36
54218,2019,11,18,27
54218,2019,11,19,20
54218,2019,11,20,27
54218,2019,11,21,44
54218,2019,11,22,67
54218,2019,11,23,61
54218,2019,11,24,32
54218,2019,11,25,29
54218,2019,11,26,25
54218,2019,11,27,36
54218,2019,11,28,35
54218,2019,11,29,32
54218,2019,11,30,45
54218,2019,12,1,40
54218,2019,12,2,35
54218,2019,12,3,49
54218,2019,12,4,56
54218,2019,12,5,41
54218,2019,12,6,35
54218,2019,12,7,43
54218,2019,12,8,39
54218,2019,12,9,39
54218,2019,12,10,55
54218,2019,12,11,45
54218,2019,12,12,32
54218,2019,12,13,41
54218,2019,12,14,48
54218,2019,12,15,45
54218,2019,12,16,72
54218,2019,12,17,38
54218,2019,12,18,48
54218,2019,12,19,42
54218,2019,12,20,45
54218,2019,12,21,48
54218,2019,12,22,67
54218,2019,12,23,74
54218,2019,12,24,72
54218,2019,12,25,59
54218,2019,12,26,54
54218,2019,12,27,46
54218,2019,12,28,68
54218,2019,12,29,71
54218,2019,12,30,33
54218,2019,12,31,25
