站点编号,年,月,日,平均相对湿度(%)
52323,2019,1,1,69
52323,2019,1,2,70
52323,2019,1,3,71
52323,2019,1,4,68
52323,2019,1,5,65
52323,2019,1,6,71
52323,2019,1,7,65
52323,2019,1,8,69
52323,2019,1,9,65
52323,2019,1,10,63
52323,2019,1,11,57
52323,2019,1,12,53
52323,2019,1,13,62
52323,2019,1,14,61
52323,2019,1,15,53
52323,2019,1,16,64
52323,2019,1,17,60
52323,2019,1,18,66
52323,2019,1,19,82
52323,2019,1,20,72
52323,2019,1,21,60
52323,2019,1,22,55
52323,2019,1,23,61
52323,2019,1,24,72
52323,2019,1,25,70
52323,2019,1,26,64
52323,2019,1,27,64
52323,2019,1,28,69
52323,2019,1,29,54
52323,2019,1,30,39
52323,2019,1,31,43
52323,2019,2,1,46
52323,2019,2,2,53
52323,2019,2,3,53
52323,2019,2,4,48
52323,2019,2,5,44
52323,2019,2,6,55
52323,2019,2,7,57
52323,2019,2,8,50
52323,2019,2,9,41
52323,2019,2,10,55
52323,2019,2,11,51
52323,2019,2,12,58
52323,2019,2,13,68
52323,2019,2,14,57
52323,2019,2,15,61
52323,2019,2,16,58
52323,2019,2,17,52
52323,2019,2,18,53
52323,2019,2,19,48
52323,2019,2,20,46
52323,2019,2,21,53
52323,2019,2,22,48
52323,2019,2,23,50
52323,2019,2,24,63
52323,2019,2,25,63
52323,2019,2,26,52
52323,2019,2,27,38
52323,2019,2,28,38
52323,2019,3,1,32
52323,2019,3,2,25
52323,2019,3,3,23
52323,2019,3,4,29
52323,2019,3,5,33
52323,2019,3,6,29
52323,2019,3,7,22
52323,2019,3,8,37
52323,2019,3,9,41
52323,2019,3,10,49
52323,2019,3,11,41
52323,2019,3,12,28
52323,2019,3,13,29
52323,2019,3,14,24
52323,2019,3,15,17
52323,2019,3,16,15
52323,2019,3,17,21
52323,2019,3,18,20
52323,2019,3,19,35
52323,2019,3,20,22
52323,2019,3,21,17
52323,2019,3,22,16
52323,2019,3,23,16
52323,2019,3,24,16
52323,2019,3,25,16
52323,2019,3,26,34
52323,2019,3,27,72
52323,2019,3,28,45
52323,2019,3,29,23
52323,2019,3,30,18
52323,2019,3,31,14
52323,2019,4,1,13
52323,2019,4,2,18
52323,2019,4,3,13
52323,2019,4,4,19
52323,2019,4,5,21
52323,2019,4,6,38
52323,2019,4,7,50
52323,2019,4,8,38
52323,2019,4,9,66
52323,2019,4,10,53
52323,2019,4,11,45
52323,2019,4,12,46
52323,2019,4,13,25
52323,2019,4,14,25
52323,2019,4,15,37
52323,2019,4,16,19
52323,2019,4,17,31
52323,2019,4,18,24
52323,2019,4,19,23
52323,2019,4,20,31
52323,2019,4,21,26
52323,2019,4,22,32
52323,2019,4,23,53
52323,2019,4,24,57
52323,2019,4,25,32
52323,2019,4,26,33
52323,2019,4,27,43
52323,2019,4,28,32
52323,2019,4,29,26
52323,2019,4,30,18
52323,2019,5,1,13
52323,2019,5,2,21
52323,2019,5,3,34
52323,2019,5,4,18
52323,2019,5,5,27
52323,2019,5,6,39
52323,2019,5,7,65
52323,2019,5,8,66
52323,2019,5,9,65
52323,2019,5,10,48
52323,2019,5,11,36
52323,2019,5,12,32
52323,2019,5,13,18
52323,2019,5,14,39
52323,2019,5,15,22
52323,2019,5,16,36
52323,2019,5,17,35
52323,2019,5,18,32
52323,2019,5,19,12
52323,2019,5,20,11
52323,2019,5,21,8
52323,2019,5,22,11
52323,2019,5,23,20
52323,2019,5,24,29
52323,2019,5,25,19
52323,2019,5,26,14
52323,2019,5,27,19
52323,2019,5,28,11
52323,2019,5,29,31
52323,2019,5,30,40
52323,2019,5,31,37
52323,2019,6,1,17
52323,2019,6,2,15
52323,2019,6,3,24
52323,2019,6,4,19
52323,2019,6,5,19
52323,2019,6,6,30
52323,2019,6,7,23
52323,2019,6,8,40
52323,2019,6,9,29
52323,2019,6,10,44
52323,2019,6,11,22
52323,2019,6,12,20
52323,2019,6,13,33
52323,2019,6,14,67
52323,2019,6,15,40
52323,2019,6,16,33
52323,2019,6,17,31
52323,2019,6,18,28
52323,2019,6,19,31
52323,2019,6,20,31
52323,2019,6,21,51
52323,2019,6,22,38
52323,2019,6,23,41
52323,2019,6,24,53
52323,2019,6,25,33
52323,2019,6,26,36
52323,2019,6,27,24
52323,2019,6,28,22
52323,2019,6,29,17
52323,2019,6,30,21
52323,2019,7,1,18
52323,2019,7,2,23
52323,2019,7,3,18
52323,2019,7,4,12
52323,2019,7,5,20
52323,2019,7,6,45
52323,2019,7,7,76
52323,2019,7,8,61
52323,2019,7,9,48
52323,2019,7,10,33
52323,2019,7,11,30
52323,2019,7,12,39
52323,2019,7,13,61
52323,2019,7,14,48
52323,2019,7,15,33
52323,2019,7,16,29
52323,2019,7,17,32
52323,2019,7,18,60
52323,2019,7,19,36
